street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Омеляновича-Павленка,21,37,1575.0,115000.0,2,73,25,2015
No street name,11,58,680.0,75000.0,3,110.27,25,0
Ованеса,5,56,1400.0,140000.0,3,100,18,2011
Петропавлівська,5,32,2414.0,140000.0,2,58,5,1902
Дніпровська,2,36,2025.0,160000.0,2,79,10,2014
Саксаганського,2,77.6,6273.0,870000.0,3,138.7,22,2009
Івана,21,115,73902.0,402266.5675675676,5,201.4,23,2018
Дніпровська,4,43,2529.0,220000.0,2,87,23,2012
Ділова,6,10,3325.0,133000.0,1,40,20,2017
Новодарницька,2,29,1353.0,69000.0,2,51,9,1980
Ревуцького,8,20,3542.0,169999.0,1,48,19,2012
Липківського,2,40.1,2494.0,212000.0,2,85,17,0
Бендукідзе,13,33.4,1099.0,83500.0,2,76,25,2018
Введенська,12,32.9,1339.0,75000.0,2,56,12,1985
Виноградний,12,16,1711.0,65000.0,1,38,25,2017
Кайсарова,5,44,1171.0,82000.0,3,70,9,1981
Ахматової,16,63,2010.0,207000.0,3,103,18,2016
Радченка,4,29,921.0,51990.0,2,56.44,6,0
Дніпровська,3,42,841.0,57999.0,3,69,10,1987
Ділова,21,16.21,1203.0,57000.0,2,47.39,24,0
Бориспільська,3,28,1900.0,95000.0,1,50,23,2016
Болсуновська,8,45,781.0,50000.0,3,64,9,1976
Українки,5,64,990.0,95000.0,4,96,5,1960
Антонова,5,32,1019.0,46860.0,2,46,5,1966
Омеляновича-Павленка,3,28,875.0,38500.0,2,44,5,1964
No street name,7,50,1100.0,110000.0,3,100,12,2008
Ованеса,14,125,1121.0,269000.0,5,240,15,0
Петропавлівська,6,35.59,27503.0,53594.59459459459,2,72.1,25,0
Дніпровська,19,35,1587.0,119000.0,2,75,25,2007
Саксаганського,1,50,2692.0,210000.0,3,78,5,1916
Івана,7,64.6,2460.0,310000.0,3,126,16,0
Дніпровська,12,50,1000.0,93000.0,3,93,18,0
Ділова,6,32,1556.0,98000.0,2,63,16,2013
Новодарницька,1,25,1773.0,78000.0,2,44,4,2019
Ревуцького,24,28.54,1001.0,68000.0,2,67.92,26,0
Липківського,11,21,1481.0,77000.0,1,52,17,2009
Бендукідзе,5,48.1,1778.0,176000.0,3,99,25,2017
Введенська,9,50,58042.0,150594.5945945946,3,96,12,0
Виноградний,3,0,1985.0,129000.0,3,65,4,0
Кайсарова,15,0,2720.0,136000.0,2,50,25,2016
Ахматової,3,41,934.0,71000.0,3,76,9,1986
Радченка,15,0,2384.0,108000.0,1,45.3,25,2019
Дніпровська,9,50,1768.0,175000.0,4,99,9,1977
Ділова,17,53.2,602.0,45006.0,3,74.7,17,0
Бориспільська,22,0,1322.0,78000.0,2,59,25,2018
Болсуновська,1,42,890.0,65000.0,3,73,9,1983
Українки,14,0,54774.0,91783.78378378379,2,62,25,0
Антонова,5,50,907.0,68899.0,3,76,5,1963
Науки,12,20,2697.0,205000.0,2,76,23,2014
Метрологічна,4,69,1005.0,211000.0,3,210,4,1906
Дружби,5,18,1106.0,36500.0,1,33,5,1962
No street name,16,17.96,47556.0,85857.16216216216,1,66.8,26,0
Драгомирова,14,40,2500.0,155000.0,2,62,24,2017
Данченка,13,65.8,1068.0,109000.0,3,102.1,25,2009
